Simple Textures:
Accept_Knife Width:54 Height:55
AcceptMyCheck_Click Width:23 Height:21
AcceptMyCheck_Default Width:23 Height:21
AcceptMyCheck_Hover Width:23 Height:21
AcceptTheirCheck_Click Width:23 Height:21
AcceptTheirCheck_Hover Width:23 Height:21
AchievementSlot_Click Width:94 Height:70
AchievementSlot_Default Width:94 Height:70
AchievementSlot_Hover Width:94 Height:70
AchievementTitle_Icon Width:29 Height:29
ActivatedIconGlow_1 Width:78 Height:78
ActivatedIconGlow_2 Width:78 Height:78
ActivatedIconGlow_3 Width:78 Height:78
ActivatedIconGlow_4 Width:78 Height:78
ActivatedIconGlow_5 Width:78 Height:78
Aggressed Width:41 Height:41
Aggressor Width:41 Height:41
Background Width:48 Height:56
BackgroundBorder Width:115 Height:4
BackgroundGradient Width:7 Height:118
BackpackIcon_Default Width:69 Height:90
BackpackIcon_Hover Width:69 Height:90
BackpackIcon_Open-Click Width:69 Height:90
BasicWindow_BG Width:72 Height:72
BasicWindow_CloseButton_Click Width:22 Height:22
BasicWindow_CloseButton_Default Width:22 Height:22
BasicWindow_CloseButton_Hover Width:22 Height:22
BasicWindow_Header Width:34 Height:34
BasicWindow_Panel Width:20 Height:20
Blank Width:4 Height:4
Blank_NoAlpha Width:4 Height:4
Button_Click Width:26 Height:26
Button_Default Width:26 Height:26
Button_Disabled Width:26 Height:26
Button_Hover Width:26 Height:26
ButtonBar_AbilitiesDefault Width:50 Height:50
ButtonBar_AchievementsDefault Width:50 Height:50
ButtonBar_AllegianceDefault Width:50 Height:50
ButtonBar_Background Width:6 Height:42
ButtonBar_BackpackDefault Width:50 Height:50
ButtonBar_CharacterDefault Width:50 Height:50
ButtonBar_ExpandClick Width:40 Height:42
ButtonBar_ExpandDefault Width:40 Height:42
ButtonBar_ExpandHover Width:40 Height:42
ButtonBar_GuildDefault Width:50 Height:50
ButtonBar_HelpDefault Width:50 Height:50
ButtonBar_LogoutDefault Width:50 Height:50
ButtonBar_MapDefault Width:50 Height:50
ButtonBar_PVPOptionsClick Width:50 Height:50
ButtonBar_PVPOptionsDefault Width:50 Height:50
ButtonBar_SettingsDefault Width:50 Height:50
ButtonBar_SkillsDefault Width:50 Height:50
CategorySelection_Click Width:16 Height:16
CategorySelection_Default Width:16 Height:16
CategorySelection_Disabled Width:16 Height:16
CategorySelection_Hover Width:16 Height:16
CharacterSelectionButton Width:32 Height:32
CharacterSelectionButton_Click Width:32 Height:32
CharacterSelectionButton_Hover Width:32 Height:32
CharacterWindow_CloseButton_Click Width:18 Height:18
CharacterWindow_CloseButton_Default Width:18 Height:18
CharacterWindow_CloseButton_Hover Width:18 Height:18
CharacterWindow_Frame Width:269 Height:393
CharacterWindow_InfoPage Width:257 Height:309
Checkbox_Off Width:32 Height:32
Checkbox_On Width:32 Height:32
CircleCloseButton_Frame Width:32 Height:32
ContainerListView_BG Width:5 Height:105
ConversationWindow_Bullet_Click Width:23 Height:18
ConversationWindow_Bullet_Default Width:23 Height:18
ConversationWindow_Bullet_Hover Width:23 Height:18
ConversationWindow_Bullet_HoverHighlight Width:24 Height:28
ConversationWindow_CloseButton_Click Width:46 Height:28
ConversationWindow_CloseButton_Default Width:46 Height:28
ConversationWindow_CloseButton_Hover Width:46 Height:28
CraftingCategory_Anvil1 Width:62 Height:62
CraftingCategory_Anvil2 Width:62 Height:62
CraftingCategory_Anvil3 Width:62 Height:62
CraftingCategory_Anvil4 Width:62 Height:62
CraftingCategory_Anvil5 Width:62 Height:62
CraftingCategory_Bashing Width:64 Height:64
CraftingCategory_BeastLeather Width:64 Height:64
CraftingCategory_Beds Width:64 Height:64
CraftingCategory_Blightwood Width:64 Height:64
CraftingCategory_Bones Width:64 Height:64
CraftingCategory_BuffsPotions Width:64 Height:64
CraftingCategory_Casting Width:64 Height:64
CraftingCategory_Chairs Width:64 Height:64
CraftingCategory_Cobalt Width:64 Height:64
CraftingCategory_CraftingStations Width:64 Height:64
CraftingCategory_CrystallizedCobalt Width:64 Height:64
CraftingCategory_Crystals Width:64 Height:64
